"name","email","phone","company","source","status","company_size","interactions_count","previous_deals","deal_value","days_since_last_interaction","converted"
"Alex Foster","lead442@example.test","+1-202-555-1442","Silver Birch Supply 442","Website","converted","624","9","4","149889.12","29","1"
"Jamie Dawson","lead443@example.test","+1-202-555-1443","Atlas Ventures 443","Facebook","contacted","1912","0","3","104388.9","166","0"
"Hayden Reed","lead444@example.test","+1-202-555-1444","Keystone Analytics 444","Google Ads","new","347","10","0","147174.82","131","0"
"Taylor Griffin","lead445@example.test","+1-202-555-1445","Pioneer Solutions 445","Cold Call","qualified","477","7","3","149719.48","179","0"
"Reese Lawson","lead446@example.test","+1-202-555-1446","Evergreen Logistics 446","Cold Call","contacted","105","7","0","166476.99","71","0"
"Morgan Reed","lead447@example.test","+1-202-555-1447","Redwood Commerce 447","Facebook","lost","1047","1","2","183338.88","135","0"
"Rowan Jensen","lead448@example.test","+1-202-555-1448","Lighthouse Logistics 448","Referral","qualified","968","2","4","80990.86","65","0"
"Reese Carter","lead449@example.test","+1-202-555-1449","Horizon Ventures 449","Google Ads","contacted","897","4","5","25461.56","78","0"
"Sage West","lead450@example.test","+1-202-555-1450","Keystone Supply 450","Referral","converted","211","12","5","32371.93","85","1"
"Reese Harper","lead451@example.test","+1-202-555-1451","Lighthouse Labs 451","Cold Call","qualified","1289","11","2","167906.64","112","1"
"Morgan Lawson","lead452@example.test","+1-202-555-1452","Evergreen Commerce 452","LinkedIn","converted","320","15","5","107834.82","26","1"
"Parker Monroe","lead453@example.test","+1-202-555-1453","Evergreen Commerce 453","Email Campaign","lost","132","12","5","130034.77","49","0"
"Alex Young","lead454@example.test","+1-202-555-1454","Cedar Works 454","Referral","lost","975","15","1","54718.15","132","0"
"Emerson Turner","lead455@example.test","+1-202-555-1455","Atlas Labs 455","Website","converted","547","6","2","148314.98","45","1"
"Reese Carter","lead456@example.test","+1-202-555-1456","Clearpath Partners 456","Cold Call","new","528","6","2","48111.62","16","0"
"Quinn Harper","lead457@example.test","+1-202-555-1457","Brightline Health 457","Referral","converted","288","12","1","57100.25","33","1"
"Morgan Bennett","lead458@example.test","+1-202-555-1458","Redwood Supply 458","LinkedIn","lost","1882","12","5","126186.18","132","0"
"Morgan Griffin","lead459@example.test","+1-202-555-1459","Brightline Analytics 459","Google Ads","new","1068","14","4","34855.09","81","1"
"Quinn Whitaker","lead460@example.test","+1-202-555-1460","Clearpath Works 460","LinkedIn","converted","78","8","4","169356.62","20","1"
"Reese Keller","lead461@example.test","+1-202-555-1461","Atlas Works 461","Google Ads","qualified","1632","15","2","161404.16","48","1"
"Sage Monroe","lead462@example.test","+1-202-555-1462","Evergreen Partners 462","Website","lost","1337","9","2","189798.26","85","0"
"Avery Nolan","lead463@example.test","+1-202-555-1463","Summit Partners 463","LinkedIn","contacted","51","4","2","66145.71","157","0"
"Morgan Reed","lead464@example.test","+1-202-555-1464","Redwood Media 464","Google Ads","converted","470","14","5","31106.55","27","1"
"Alex Bennett","lead465@example.test","+1-202-555-1465","Pioneer Health 465","Cold Call","converted","208","11","2","29938.79","70","1"
"Cameron Griffin","lead466@example.test","+1-202-555-1466","Clearpath Supply 466","LinkedIn","qualified","1598","15","0","95576.39","129","1"
"Casey Whitaker","lead467@example.test","+1-202-555-1467","Cedar Commerce 467","Google Ads","new","290","3","1","146167.45","3","0"
"Emerson Carter","lead468@example.test","+1-202-555-1468","Lighthouse Media 468","Facebook","qualified","715","15","5","37471.39","144","1"
"Riley Young","lead469@example.test","+1-202-555-1469","Oakridge Media 469","Email Campaign","new","1219","13","5","32506.83","151","1"
"Hayden Sawyer","lead470@example.test","+1-202-555-1470","Pioneer Partners 470","Website","qualified","1457","9","1","106559.06","70","0"
"Jordan Carter","lead471@example.test","+1-202-555-1471","Evergreen Media 471","Website","lost","1827","1","0","6592.97","31","0"
"Jordan Keller","lead472@example.test","+1-202-555-1472","Lighthouse Systems 472","Website","contacted","316","6","1","150589.17","140","0"
"Finley Turner","lead473@example.test","+1-202-555-1473","Horizon Commerce 473","Facebook","contacted","1746","11","3","140823.97","118","1"
"Sage Whitaker","lead474@example.test","+1-202-555-1474","Clearpath Systems 474","Referral","lost","806","14","3","194625.72","86","0"
"Casey Monroe","lead475@example.test","+1-202-555-1475","Atlas Analytics 475","LinkedIn","converted","1995","7","5","128966.96","50","1"
"Hayden Dawson","lead476@example.test","+1-202-555-1476","Atlas Analytics 476","LinkedIn","lost","756","9","1","96535.77","164","0"
"Drew Harper","lead477@example.test","+1-202-555-1477","Horizon Health 477","Cold Call","contacted","226","1","5","139001.83","143","0"
"Sage Reed","lead478@example.test","+1-202-555-1478","Summit Partners 478","Email Campaign","converted","798","13","4","20750.21","85","1"
"Kendall West","lead479@example.test","+1-202-555-1479","Oakridge Health 479","Google Ads","qualified","1561","7","5","96486.97","69","1"
"Avery Warren","lead480@example.test","+1-202-555-1480","Atlas Labs 480","Referral","qualified","290","6","4","90117.01","147","1"
"Riley Carter","lead481@example.test","+1-202-555-1481","Silver Birch Partners 481","Facebook","converted","138","6","5","48887.31","34","1"
"Skyler West","lead482@example.test","+1-202-555-1482","Lighthouse Commerce 482","Website","lost","1574","6","3","41916.2","59","0"
"Parker Whitaker","lead483@example.test","+1-202-555-1483","Silver Birch Commerce 483","Facebook","new","619","1","3","172581.73","46","0"
"Taylor Keller","lead484@example.test","+1-202-555-1484","Lighthouse Commerce 484","Cold Call","lost","593","12","5","36467.05","47","0"
"Rowan Carter","lead485@example.test","+1-202-555-1485","Clearpath Analytics 485","LinkedIn","lost","190","5","0","129697.48","113","0"
"Casey Warren","lead486@example.test","+1-202-555-1486","Pioneer Logistics 486","Google Ads","contacted","1288","0","3","38988.93","41","0"
"Quinn Keller","lead487@example.test","+1-202-555-1487","Silver Birch Ventures 487","Email Campaign","qualified","738","4","4","199362.71","163","0"
"Quinn Griffin","lead488@example.test","+1-202-555-1488","Clearpath Ventures 488","Cold Call","converted","1878","15","4","198279.12","17","1"
"Emerson Monroe","lead489@example.test","+1-202-555-1489","Lighthouse Supply 489","LinkedIn","converted","54","10","3","25162.11","24","1"
"Drew Griffin","lead490@example.test","+1-202-555-1490","Oakridge Systems 490","Cold Call","qualified","1181","12","1","136301.46","42","1"
"Hayden Jensen","lead491@example.test","+1-202-555-1491","Summit Solutions 491","Cold Call","lost","885","12","4","89876.63","8","0"
"Emerson Harper","lead492@example.test","+1-202-555-1492","Silver Birch Media 492","Cold Call","qualified","972","6","1","89578.82","80","1"
"Avery Warren","lead493@example.test","+1-202-555-1493","Evergreen Media 493","Website","lost","1978","4","0","27273.73","19","0"
"Reese Lawson","lead494@example.test","+1-202-555-1494","Evergreen Media 494","Website","qualified","1164","1","1","70243.01","118","0"
"Jamie Whitaker","lead495@example.test","+1-202-555-1495","Northstar Media 495","Referral","converted","1110","15","5","100616.04","66","1"
"Avery Keller","lead496@example.test","+1-202-555-1496","Redwood Partners 496","Facebook","contacted","553","15","1","19060","134","0"
"Finley West","lead497@example.test","+1-202-555-1497","Summit Solutions 497","Google Ads","contacted","144","14","0","135505.72","44","0"
"Riley Nolan","lead498@example.test","+1-202-555-1498","Pioneer Commerce 498","Referral","converted","892","11","3","146534.88","73","1"
"Morgan Monroe","lead499@example.test","+1-202-555-1499","Oakridge Labs 499","Google Ads","qualified","1152","13","3","122189.75","162","1"
"Jamie Ellis","lead500@example.test","+1-202-555-1500","Horizon Media 500","LinkedIn","contacted","1381","5","5","122783.5","162","0"
